Date,ConnType,Lat,Lon,Download Speed,Download Size,Upload Speed,Upload Size,Latency,Server,InternalIp,ExternalIp,URL
2021/06/15 下午9:39,Wifi,22.2908,114.1501,0.283989,3730163,0.846018,4156152,323,Hong Kong,10.144.2.50,45.135.186.85,https://www.speedtest.net/my-result/a/7439764262
2021/06/15 下午9:50,Wifi,34.0544,-118.244,1.281458,14320421,0.291557,3736824,196,"Los Angeles, CA",10.67.1.14,154.16.166.160,https://www.speedtest.net/my-result/a/7439798088
2021/06/15 下午9:59,Wifi,31.0442,121.4054,2.534861,31540388,1.285666,16171588,5,Shanghai,192.168.3.103,101.88.15.78,https://www.speedtest.net/my-result/a/7439826251
2021/06/15 下午10:00,Wifi,31.0442,121.4054,2.136236,23113760,2.318,27304200,6,ShangHai,192.168.3.103,101.88.15.78,https://www.speedtest.net/my-result/a/7439832711
2021/06/29 下午6:13,Wifi,53.4186,59.0472,0.486494,4572624,2.040122,26452075,238,Miasskoe,10.211.1.1,37.140.56.143,https://www.speedtest.net/my-result/a/7483657616
2021/06/29 下午6:14,Wifi,53.4186,59.0472,0.353665,3603312,2.128902,28395902,240,Miasskoe,10.211.1.1,37.140.56.143,https://www.speedtest.net/my-result/a/7483660134
2021/06/29 下午6:16,Wifi,34.0544,-118.244,1.83965,21393410,0.856528,9036846,165,"Los Angeles, CA",10.67.0.6,154.16.166.172,https://www.speedtest.net/my-result/a/7483664666
2021/07/31 下午1:36,Wifi,31.0442,121.4054,15.127657,165919968,2.802523,33374460,6,Shanghai,192.168.1.3,101.88.8.148,https://www.speedtest.net/my-result/a/7581716075
2021/07/31 下午1:42,Wifi,34.0544,-118.244,6.247397,80644960,2.551004,33818148,164,"Los Angeles, CA",10.81.0.6,154.16.166.218,https://www.speedtest.net/my-result/a/7581727240
2021/07/31 下午1:43,Wifi,22.2908,114.1501,6.696217,78258965,2.416785,31741026,312,Central,10.93.0.6,45.135.186.77,https://www.speedtest.net/my-result/a/7581730666
2021/07/31 下午1:45,Wifi,32.7797,-96.8022,2.182427,20359945,1.043998,5237434,366,"Dallas, TX",10.94.0.6,85.203.23.33,https://www.speedtest.net/my-result/a/7581735935
